time,C,E,N,S,W,PT_total_check
2024-07-14 22:00:00,2048.2733793544066,477.0422136259904,1499.6037990607213,436.2347306475165,1158.045877311365,5619.2
2024-07-14 23:00:00,1913.5127962914576,445.65651701837214,1400.9414406266474,407.533851532983,1081.85539453054,5249.5
2024-07-15 00:00:00,1809.5171394132876,421.4359618597205,1324.8030287758459,385.3851882617457,1023.0586816894004,4964.2
2024-07-15 01:00:00,1727.355831806069,402.30061964885454,1264.6502140854475,367.88673504990953,976.6065994097197,4738.8
2024-07-15 02:00:00,1661.2331113093987,386.900659236028,1216.2397412157122,353.80412896017083,939.22235927869,4557.4
2024-07-15 03:00:00,1627.807237717642,379.11578398875025,1191.7676333758297,346.6851930261629,920.324151891615,4465.7
2024-07-15 04:00:00,1611.1854292576193,375.2445701253275,1179.5982973071425,343.14513328144363,910.9265700284676,4420.1
2024-07-15 05:00:00,1626.4949896813246,378.810161841638,1190.8068963177757,346.40571462526407,919.5822375339982,4462.1
2024-07-15 06:00:00,1694.6954362354975,394.69402398739226,1240.7385361960964,360.9308281830926,958.1411753979211,4649.2
2024-07-15 07:00:00,1871.192797120215,435.8002027739997,1369.9576705043967,398.5206731039937,1057.9286564973947,5133.4
2024-07-15 08:00:00,2140.604609243087,498.54612747697695,1567.2023259510404,455.89914146631924,1210.2477958625768,5872.500000000001
2024-07-15 09:00:00,2245.365744142442,522.944962221444,1643.9011677523733,478.2108338047475,1269.477292078993,6159.9
2024-07-15 10:00:00,2247.2247621938923,523.3779269298532,1645.2622119179505,478.6067615393543,1270.5283374189503,6165.0
2024-07-15 11:00:00,2256.337595779431,525.5003029514666,1651.9339970433273,480.5475837678188,1275.6805204579566,6190.0
2024-07-15 12:00:00,2222.1826955008314,517.5456376224597,1626.9281463934146,473.2733820555338,1256.370138427761,6096.300000000001
2024-07-15 13:00:00,2204.5037983448856,513.4282281405298,1613.9848832501834,469.5081869323126,1246.374903332089,6047.800000000001
2024-07-15 14:00:00,2249.7034529291586,523.955213207732,1647.076937472053,479.13466518549666,1271.92973120556,6171.800000000001
2024-07-15 15:00:00,2232.972290466109,520.0585308320499,1634.8275399818608,475.57131557403574,1262.4703231459443,6125.9
2024-07-15 16:00:00,2252.0363383270565,524.498541469265,1648.7849144641493,479.63151567598356,1273.2486900635456,6178.200000000001
2024-07-15 17:00:00,2254.8430910714023,525.1522332839219,1650.8398242827654,480.22928892235063,1274.8355624395595,6185.9
2024-07-15 18:00:00,2313.566190696615,538.8288243671984,1693.8328076306943,492.7359473625761,1308.0362299429162,6347.0
2024-07-15 19:00:00,2429.9553012511183,565.9358109152441,1779.0448472520086,517.5241288645252,1373.8399117171045,6666.300000000001
2024-07-15 20:00:00,2452.846739217992,571.2672194815369,1795.8043714869555,522.3994743024281,1386.7821955110883,6729.1
2024-07-15 21:00:00,2446.0303396960085,569.6796822173701,1790.8138762131734,520.9477392755366,1382.9283625979115,6710.4
